DEM,REP,WCP,BAR,UNAF,OTH,TOTAL
12833,22145,2,14,7584,659,"43,237"
170064,133528,45,70,88734,4716,"397,157"
306518,29425,55,76,50654,4630,"391,358"
307354,140128,76,113,98908,8746,"555,325"
24180,27650,11,13,14049,923,"66,826"
6590,9797,5,1,4103,260,"20,756"
33415,63889,7,22,25701,1809,"124,843"
21296,29949,11,7,14979,1087,"67,329"
71252,24287,18,16,19469,1126,"116,168"
9736,8557,3,4,3286,221,"21,807"
70239,67990,18,39,42413,1756,"182,455"
3984,13122,1,5,2580,240,"19,932"
65475,79061,18,38,37521,2572,"184,685"
116125,52983,13,34,51047,3191,"223,393"
5918,4863,1,2,2262,177,"13,223"
404995,106826,44,98,147484,9113,"668,560"
466627,39179,61,113,74912,13404,"594,296"
10901,18595,1,4,7096,483,"37,080"
25803,29851,4,10,15224,1002,"71,894"
5654,5562,2,0,1992,151,"13,361"
10483,11560,4,3,5031,377,"27,458"
32348,43225,10,22,20233,1463,"97,301"
26561,23294,7,12,12085,975,"62,934"
13852,17818,0,6,7451,604,"39,731"
