DEM,REP,GRN,LIB,WCP,UNAF,OTH,TOTAL
11951,22756,77,224,66,8364,385,"43,823"
174194,130453,641,2257,374,98405,3151,"409,475"
304190,28341,896,1057,595,56216,3945,"395,240"
309949,137776,882,2505,634,108024,6283,"566,053"
23992,27840,93,419,62,15490,560,"68,456"
6323,10481,34,110,35,4579,174,"21,736"
33686,63996,193,794,90,28561,1049,"128,369"
20830,31886,113,442,99,16627,691,"70,688"
74276,23376,130,416,140,21905,860,"121,103"
9621,8962,21,103,29,3766,196,"22,698"
76234,68169,317,1120,164,48168,1050,"195,222"
3755,13648,25,100,20,2823,163,"20,534"
65412,80050,243,1184,178,41301,1654,"190,022"
121076,49322,343,886,124,56630,2027,"230,408"
5843,5226,17,66,20,2562,113,"13,847"
411577,98227,1109,2234,422,159152,5681,"678,402"
463819,37494,779,1312,549,85906,11325,"601,184"
11092,19534,42,221,33,8033,302,"39,257"
25636,31854,108,475,80,16857,642,"75,652"
5582,5939,22,64,15,2304,116,"14,042"
10798,11642,45,142,20,5699,270,"28,616"
31410,43728,159,616,109,22313,934,"99,269"
26908,23905,101,342,100,13500,678,"65,534"
13905,18941,58,210,29,8467,492,"42,102"
