zip,total,grand_total,perc
20106,100,20328513.18,0.000491919891605176
20109,250,20328513.18,0.00122979972901294
20111,75,20328513.18,0.000368939918703882
20130,27.5,20328513.18,0.000135277970191423
20137,1010,20328513.18,0.00496839090521228
20143,75,20328513.18,0.000368939918703882
20145,120,20328513.18,0.000590303869926212
20146,52,20328513.18,0.000255798343634692
20147,250,20328513.18,0.00122979972901294
20155,634,20328513.18,0.00311877211277682
20172,750,20328513.18,0.00368939918703882
20175,50,20328513.18,0.000245959945802588
20184,857,20328513.18,0.00421575347105636
20185,29345,20328513.18,0.144353892191539
20186,20,20328513.18,9.83839783210352e-05
20190,1135,20328513.18,0.00558329076971875
20193,75,20328513.18,0.000368939918703882
20194,25,20328513.18,0.000122979972901294
20201,25,20328513.18,0.000122979972901294
20207,1000,20328513.18,0.00491919891605176
20227,25,20328513.18,0.000122979972901294
20236,314.5,20328513.18,0.00154708805909828
20406,19,20328513.18,9.34647794049835e-05
20409,165,20328513.18,0.000811667821148541
20417,90,20328513.18,0.000442727902444659
20464,25,20328513.18,0.000122979972901294
20475,20,20328513.18,9.83839783210352e-05
20507,35,20328513.18,0.000172171962061812
20509,25,20328513.18,0.000122979972901294
20518,15,20328513.18,7.37879837407764e-05
20580,521,20328513.18,0.00256290263526297
20601,26617.81,20328513.18,0.130938302099672
20602,10456.44,20328513.18,0.0514373083137603
20603,41199.67,20328513.18,0.20266937200569
20604,541,20328513.18,0.002661286613584
20606,16.5,20328513.18,8.11667821148541e-05
20607,20866.61,20328513.18,0.102647005293675
20608,305.5,20328513.18,0.00150281526885381
20609,148,20328513.18,0.000728041439575661
20610,80.88,20328513.18,0.000397864808330267
20613,13728.93,20328513.18,0.0675353375745505
20614,5,20328513.18,2.45959945802588e-05
20615,81.5,20328513.18,0.000400914711658219
20616,4124.56,20328513.18,0.0202895310811905
20617,1209.7,20328513.18,0.00595075492874782
20618,606.5,20328513.18,0.00298349414258539
20619,7242.92,20328513.18,0.0356293642130496
20620,755.5,20328513.18,0.00371645478107711
20621,29,20328513.18,0.000142656768565501
20622,1011.5,20328513.18,0.00497576970358636
20623,3668.56,20328513.18,0.0180463763754709
20624,139.5,20328513.18,0.000686228248789221
20625,1323.26,20328513.18,0.00650937915765466
20626,602.5,20328513.18,0.00296381734692119
20628,5149,20328513.18,0.0253289552187505
20629,425,20328513.18,0.002090659539322
20630,325,20328513.18,0.00159873964771682
20634,5724.86,20328513.18,0.0281617251065481
20636,10881.22,20328513.18,0.0535268856293208
20637,4259.2,20328513.18,0.0209518520232477
20639,20916.44,20328513.18,0.102892128975662
20640,3346.04,20328513.18,0.0164598363410658
20645,90,20328513.18,0.000442727902444659
20646,17083.51,20328513.18,0.0840371838743595
20647,10,20328513.18,4.91919891605176e-05
20650,15514.9,20328513.18,0.0763208792626515
20653,14846.55,20328513.18,0.0730331326671083
20657,21773.5,20328513.18,0.107108177598653
20658,1210.68,20328513.18,0.00595557574368555
20659,8196.36,20328513.18,0.04031952522757
20662,1315.18,20328513.18,0.00646963203041296
20664,2169,20328513.18,0.0106697424489163
20667,428.5,20328513.18,0.00210787673552818
20670,211,20328513.18,0.00103795097128692
20674,1663.22,20328513.18,0.00818171002115561
20675,4320,20328513.18,0.0212509393173436
20676,14001.13,20328513.18,0.0688743435194998
20677,2125,20328513.18,0.01045329769661
20678,6720.36,20328513.18,0.0330587876274776
20680,3675,20328513.18,0.0180780560164902
20682,25,20328513.18,0.000122979972901294
20684,193,20328513.18,0.00094940539079799
20685,6451.44,20328513.18,0.031735916654973
20686,3420.7,20328513.18,0.0168271037321383
20687,268,20328513.18,0.00131834530950187
20688,16402.21,20328513.18,0.0806857336528534
20689,762,20328513.18,0.00374842957403144
20690,1415.24,20328513.18,0.0069618470739531
20692,220.47,20328513.18,0.00108453578502193
20693,910.9,20328513.18,0.00448089829263155
20695,8587.4,20328513.18,0.0422431287717029
20696,55,20328513.18,0.000270555940382847
20698,92.85,20328513.18,0.000456747619355406
20701,1345,20328513.18,0.00661632254208962
20702,159,20328513.18,0.00078215262765223
20703,165.24,20328513.18,0.000812848428888393
20704,43,20328513.18,0.000211525553390226
20705,41035.37,20328513.18,0.201861147623783
20706,45613.48,20328513.18,0.224381781373349
20707,66373.67,20328513.18,0.326505285518377
20708,29724.83,20328513.18,0.146222351515823
20709,486,20328513.18,0.00239073067320116
20710,5424.5,20328513.18,0.0266841945201228
20711,19099.27,20328513.18,0.09395310828138
20712,21893.91,20328513.18,0.107700498340135
20713,80,20328513.18,0.000393535913284141
20714,7062.41,20328513.18,0.0347413996167131
20715,52535.25,20328513.18,0.258431344854508
20716,35491,20328513.18,0.174587288729593
20717,245,20328513.18,0.00120520373443268
20718,3987.9,20328513.18,0.0196172733573228
20720,97557.53,20328513.18,0.479904895828687
20721,122700.42,20328513.18,0.603587773063096
20722,15413.47,20328513.18,0.0758219249165964
20723,47158.03,20328513.18,0.231979730059137
20724,16990.48,20328513.18,0.0835795507991992
20725,624,20328513.18,0.0030695801236163
20726,178.5,20328513.18,0.00087807700651524
20727,10,20328513.18,4.91919891605176e-05
20729,15,20328513.18,7.37879837407764e-05
20731,159,20328513.18,0.00078215262765223
20732,16660.18,20328513.18,0.0819547393972272
20733,8591.1,20328513.18,0.0422613298076923
20734,49,20328513.18,0.000241040746886536
20735,49239.74,20328513.18,0.242220075634671
20736,17574.63,20328513.18,0.0864531008460108
20737,22759.88,20328513.18,0.111960377025468
20738,662.5,20328513.18,0.00325896928188429
20740,55985.85,20328513.18,0.275405532634237
20741,16193.2,20328513.18,0.0796575718874094
20742,444,20328513.18,0.00218412431872698
20743,21754.45,20328513.18,0.107014466859302
20744,96990.27,20328513.18,0.477114431051568
20745,37537.44,20328513.18,0.184654134159358
20746,17308.44,20328513.18,0.085143659286547
20747,24257.35,20328513.18,0.119326729826288
20748,36519.45,20328513.18,0.179646438854807
